Name,InChIKey,SuperClass,Class,SubClass,ID,,In Cocoa,Pesticides,Metabolite or external environment,Heavy Metals in Water,General,SUM
procyanidin b5,GMISZFQPFDAPGI-CVJZBMGUSA-N,Phenylpropanoids and Polyketides,Flavonoids,Biflavonoids,0,,,,,,,
procyanidin c1,MOJZMWJRUKIQGL-XILRTYJMSA-N,Phenylpropanoids and Polyketides,Flavonoids,Biflavonoids,0,,,,,,,
procyanidin tetramer 2,QFLMUASKTWGRQE-JNIIMKSASA-N,Phenylpropanoids and Polyketides,Flavonoids,Biflavonoids,0,,,,,,,
procyanidin trimer 2,No result,Phenylpropanoids and Polyketides,Flavonoids,Biflavonoids,0,,,,,,,
procyanidin trimer 3,No result,Phenylpropanoids and Polyketides,Flavonoids,Biflavonoids,0,,,,,,,
procyanidin trimer 4,No result,Phenylpropanoids and Polyketides,Flavonoids,Biflavonoids,0,,,,,,,
propanoic acid,XBDQKXXYIPTUBI-UHFFFAOYSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,Carboxylic Acid Derivatives,0,,,,,,,
propyl acetate,YKYONYBAUNKHLG-UHFFFAOYSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,Carboxylic Acid Derivatives,0,,,,,,,
protocatechuic acid,YQUVCSBJEUQKSH-UHFFFAOYSA-N,Benzenoids,Benzenes and Substituted Derivatives,Benzoic Acids and Derivatives,0,,,,,,,
putrescine,KIDHWZJUCRJVML-UHFFFAOYSA-N,Organic Nitrogen Compounds,Organonitrogen Compounds,Amines,0,,,,,,,
pyrogallol,WQGWDDDVZFFDIG-UHFFFAOYSA-N,Benzenoids,Phenols,Benzenetriols,0,,,,,,,
quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,Phenylpropanoids and Polyketides,Flavonoids,Flavones,0,,,,,,,
quercetin arabinoside,CJBIGGJNXVLZLI-UHFFFAOYSA-N,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,
quercetin galactoside,OVSQVDMCBVZWGM-DTGCRPNFSA-N,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,
quercetin-3-arabinoside,PZZRDJXEMZMZFD-IEGSVRCHSA-N,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,
quercetin-3-glucuronide,DUBCCGAQYVUYEU-UHFFFAOYSA-N,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,
quercetin-3-o-beta-d-glucofuranoside,No result,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,
raffinose,MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbohydrates and Carbohydrate Conjugates,0,,,,,,,
salsolinol,IBRKLUSXDYATLG-LURJTMIESA-N,Organoheterocyclic Compounds,Tetrahydroisoquinolines,,0,,,,,,,
selenium,BUGBHKTXTAQXES-UHFFFAOYSA-N,Homogeneous Non-Metal Compounds,Homogeneous Other Non-Metal Compounds,,0,,,,,,,
sitosteryl palmitate,IWTJDVBNIUPPPB-FPNUYMRSSA-N,Lipids and lipid-like molecules,Sterol Lipids,Triterpenoids,0,,,,,,,
sodium,KEAYESYHFKHZAL-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Alkali Metal Compounds,,0,,,,,,,
sotolone,UNYNVICDCJHOPO-UHFFFAOYSA-N,Organoheterocyclic Compounds,Dihydrofurans,Furanones,0,,,,,,,
spermidine,ATHGHQPFGPMSJY-UHFFFAOYSA-N,Organic Nitrogen Compounds,Organonitrogen Compounds,Amines,0,,,,,,,
spermine,PFNFFQXMRSDOHW-UHFFFAOYSA-N,Organic Nitrogen Compounds,Organonitrogen Compounds,Amines,0,,,,,,,
stachyose,UQZIYBXSHAGNOE-XNSRJBNMSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbohydrates and Carbohydrate Conjugates,0,,,,,,,
stearic acid,QIQXTHQIDYTFRH-UHFFFAOYSA-N,Lipids and lipid-like molecules,Fatty Acyls,Fatty Acids and Conjugates,0,,,,,,,
stearoyl-oleoyl-stearoylglycerol,No result,Lipids and lipid-like molecules,Glycerolipids,Triacylglycerols,0,,,,,,,
stigmasteryl palmitate,No result,Lipids and lipid-like molecules,Sterol Lipids,Triterpenoids,0,,,,,,,
succinic acid,KDYFGRWQOYBRFD-UHFFFAOYSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,Dicarboxylic Acid Derivatives,0,,,,,,,
sucrose,CZMRCDWAGMRECN-UGDNZRGBSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbohydrates and Carbohydrate Conjugates,0,,,,,,,
tetramethylpyrazine,FINHMKGKINIASC-UHFFFAOYSA-N,Organoheterocyclic Compounds,Diazines,Pyrazines,0,,,,,,,
theobromine,YAPQBXQYLJRXSA-UHFFFAOYSA-N,Organoheterocyclic Compounds,Imidazopyrimidines,Purines and Purine Derivatives,0,,,,,,,
theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,Organoheterocyclic Compounds,Imidazopyrimidines,Purines and Purine Derivatives,0,,,,,,,
toluene,YXFVVABEGXRONW-UHFFFAOYSA-N,Benzenoids,Benzenes and Substituted Derivatives,Toluenes,0,,,,,,,
trans-piceid,HSTZMXCBWJGKHG-CUYWLFDKSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbohydrates and Carbohydrate Conjugates,0,,,,,,,
trolox,GLEVLJDDWXEYCO-UHFFFAOYSA-N,Organoheterocyclic Compounds,Pyrans,1-benzopyrans,0,,,,,,,
tryptophan,QIVBCDIJIAJPQS-VIFPVBQESA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,
tyramine,DZGWFCGJZKJUFP-UHFFFAOYSA-N,Organic Nitrogen Compounds,Organonitrogen Compounds,Amines,0,,,,,,,
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,Benzenoids,Phenols,Methoxyphenols,0,,,,,,,
vitamin e,GVJHHUAWPYXKBD-IEOSBIPESA-N,Lipids and lipid-like molecules,Prenol Lipids,Quinone and Hyrdoquinone Lipids,0,,,,,,,
zinc,HCHKCACWOHOZIP-UHFFFAOYSA-N,Homogeneous Metal Compounds,Homogeneous Transition Metal Comounds,,0,,,,,,,
