chemical,chem_id
PARAQUAT,INFDPOAKFNIJBF
pyrocatechol,YCIMNLLNPGFGHC
pyrogallol,WQGWDDDVZFFDIG
3-methylcatechol,PGSWEKYNAOWQDF
4-Methylcatechol,ZBCATMYQYDCTIZ
4-Ethylcatechol,HFLGBNBLMBSXEM
Procyanidin B5,GMISZFQPFDAPGI
Procyanidin C1,MOJZMWJRUKIQGL
EINECS 250-156-0,CJBIGGJNXVLZLI
"3,4-DIHYDROXYBENZOIC ACID",YQUVCSBJEUQKSH
Proanthocyanidin A2,NSEWTSAADLNHNH
Arecatannin A3,QRFZGLTZLZZHCM
Nitrogen,IJGRMHOSHXDMSA
Carbon,OKTJSMMVPCPJKN
cholesterol,HVYWMOMLDIMFJA
Benz[a]anthracene,DXBHBZVCASKNBY
CHRYSENE,WDECIBYCCFPHNR
Benzo[b]fluoranthene,FTOVXSOBNPWTSH
benzo[a]pyrene,FMMWHPNWAFZXNH
linoleic acid,OYHQOLUKZRVURQ
(-)-Epigallocatechin gallate,WMBWREPUVVBILR
(+)-Catechin Hydrate,OFUMQWOJBVNKLR
2-PENTANOL,JYVLIDXNZAXMDK
Dimethyl disulfide,WQOXQRCZOLPYPM
SEC-BUTYL ACETATE,DCKVNWZUADLDEH
toluene,YXFVVABEGXRONW
2-PENTYL ACETATE,GQKZRWSUJHVIPE
ISOAMYL ACETATE,MLFHJEHSLIIPHL
2-METHYLBUTYL ACETATE,XHIUFYZDQBSEMF
2-HEPTANONE,CATSNJVOTSVZJV
2-HEPTANOL,CETWDUZRCINIHU
4-Hydroxy-2-butanone,LVSQXDHWDCMMRJ
5-METHYLFURFURAL,OUDFNZMQXZILJD
Dimethyl trisulfide,YWHLKYXPLRWGSE
MYRCENE,UAHWPYUMFXYFJY
Dipentene,XMGQYMWWDOXHJM
,KWOLFJPFCHCOCG
2-NONANONE,VKCYHJWLYTUGCC
2-Isopropyl-5-methyl-2-hexenal,IOLQAHFPDADCHJ
Phenethyl acetate,MDHYEMXUFSJLGV
UNII-3H3RLE97D6,BHGYUIZFHKUJAB
stigmasteryl palmitate,OHLDETMXEXJUDZ
2308-85-2,IWTJDVBNIUPPPB
lignin,MNCUGCKRKXNGQK
cellulose,GUBGYTABKSRVRQ
Myosmine,DPNGWXJMIILTBS
4-Methylimidazole,XLSZMDLNRCVEIJ
2-METHYLIMIDAZOLE,LXBGSDVWAMZHDD
2-Athbi,CQSIXFHVGKMLGQ
PHENYLACETIC ACID,WLJVXDMOQOGPHL
ISOBUTYRIC ACID,KQNPFQTWMSNSAP
3658-77-3,INAXVXBDKKUCGI
butyric acid,FERIUCNNQQJTOY
guaiacol,LHGVFZTZFXWLCP
P-CRESOL,IWDCLRJOBJJRNH
3-Methyl-1H-indole,ZFRKQXVRDFCRJG
"2-ETHYL-3,5-DIMETHYLPYRAZINE",JZBCTZLGKSYRSF
28664-35-9,UNYNVICDCJHOPO
"2,3-DIETHYL-5-METHYLPYRAZINE",PSINWXIDJYEXLO
"1-(3,4-Dihydro-2H-pyrrol-5-yl)ethanone",DQBQWWSFRPLIAX
Methyl 2-methyl-3-furyl disulfide,SRUTWBWLFKSTIS
2-ISOBUTYL-3-METHOXYPYRAZINE,UXFSPRAGHGMRSQ
Cinnamtannin A2,QFLMUASKTWGRQE
Polydatin,HSTZMXCBWJGKHG
Cyclo(-Pro-Val),XLUAWXQORJEMBD
2873-36-1,SZJNCZMRZAUNQT
7280-77-5,QPDMOMIYLJMOQJ
Cyclo(-Val-Val),HAISJRNRDKAUQG
Maculosin,LSGOTAXPWMCUCK
CYCLO(-PHE-SER),WIJKWEYCUNYTGY
L-leucine,ROHFNLRQFUQHCH
L-tyrosine,OUYCCCASQSFEME
l-isoleucine,AGPKZVBTJJNPAG
L-valine,KZSNJWFQEVHDMF
L-lysine,KDXKERNSBIXSRK
L-arginine,ODKSFYDXXFIFQN
L-histidine,HNDVDQJCIGZPNO
L-phenylalanine,COLNVLDHVKWLRT
4-aminobutyric acid,BTCSSZJGUNDROE
dl-3-Aminoisobutyric acid,QCHPKSFMDHPSNR
trans-Clovamide,GPZFXSWMDFBRGS
n-[4'-hydroxy-(e)-cinnamoyl]-l-aspartic acid,FKBRNPNAUOXZMQ
N-(4-Hydroxycinnamoyl)tyrosine,LEEDEKWKJVUWGA
Deoxyclovamide,JRXLVUMFJASLDR
860295-23-4,PRCRWIWEDONYKC
lactic acid,JVTAAEKCZFNVCJ
O-phospho-L-serine,BZQFBWGGLXLEPQ
2-Aminoethyl dihydrogen phosphate,SUHOOTKUPISOBE
L-alanine,QNAYBMKLOCPYGJ
beta-alanine,UCMIRNVEIXFBKS
L-serine,MTCFGRXMJLQNBG
glycine,DHMQDGOQFOQNFH
L-proline,ONIBWKKTOPOVIA
L-threonine,AYFVYJQAPQTCCC
L-glutamic acid,WHUUTDBJXJRKMK
L-aspartic acid,CKLJMWTZIZZHCS
